Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
airusari,Verbo,aerare (ventilare),Italiano,1s:airusu;2s:airusas;3s:airusa;1p:airusamu;2p:airusati;3p:airusanu;1s_pass:airusai;2s_pass:airusasti;3s_pass:airusau;1p_pass:airusàmuru;2p_pass:airusàstivu;3p_pass:airusàranu,OK
aisari,Verbo,levantar,Español,1s:aisu;2s:aisas;3s:aisa;1p:aisamu;2p:aisati;3p:aisanu;1s_pass:aisai;2s_pass:aisasti;3s_pass:aisau;1p_pass:aisàmuru;2p_pass:aisàstivu;3p_pass:aisàranu,OK
aiutari,Verbo,ayudar,Español,1s:aiutu;2s:aiutas;3s:aiuta;1p:aiutamu;2p:aiutati;3p:aiutanu;1s_pass:aiutai;2s_pass:aiutasti;3s_pass:aiutau;1p_pass:aiutàmuru;2p_pass:aiutàstivu;3p_pass:aiutàranu,OK
ajutari,Verbo,ayudar,Español,1s:ajutu;2s:ajutas;3s:ajuta;1p:ajutamu;2p:ajutati;3p:ajutanu;1s_pass:ajutai;2s_pass:ajutasti;3s_pass:ajutau;1p_pass:ajutàmuru;2p_pass:ajutàstivu;3p_pass:ajutàranu,OK
allambirsari,Verbo,versare,Italiano,1s:allambirsu;2s:allambirsas;3s:allambirsa;1p:allambirsamu;2p:allambirsati;3p:allambirsanu;1s_pass:allambirsai;2s_pass:allambirsasti;3s_pass:allambirsau;1p_pass:allambirsàmuru;2p_pass:allambirsàstivu;3p_pass:allambirsàranu,OK
allandrari,Verbo,dare sapore amaro,Italiano,1s:allandru;2s:allandras;3s:allandra;1p:allandramu;2p:allandrati;3p:allandranu;1s_pass:allandrai;2s_pass:allandrasti;3s_pass:allandrau;1p_pass:allandràmuru;2p_pass:allandràstivu;3p_pass:allandràranu,OK
allannari,Verbo,rinforzare con lamine,Italiano,1s:allannu;2s:allannas;3s:allanna;1p:allannamu;2p:allannati;3p:allannanu;1s_pass:allannai;2s_pass:allannasti;3s_pass:allannau;1p_pass:allannàmuru;2p_pass:allannàstivu;3p_pass:allannàranu,OK
allanzari,Verbo,"tirar, lanzar",Español,1s:allanzu;2s:allanzas;3s:allanza;1p:allanzamu;2p:allanzati;3p:allanzanu;1s_pass:allanzai;2s_pass:allanzasti;3s_pass:allanzau;1p_pass:allanzàmuru;2p_pass:allanzàstivu;3p_pass:allanzàranu,OK
allapazzari,Verbo,"sprangare, sbarrare, rinforzare con un pezzo di legno",Italiano,1s:allapazzu;2s:allapazzas;3s:allapazza;1p:allapazzamu;2p:allapazzati;3p:allapazzanu;1s_pass:allapazzai;2s_pass:allapazzasti;3s_pass:allapazzau;1p_pass:allapazzàmuru;2p_pass:allapazzàstivu;3p_pass:allapazzàranu,OK
allapparari,Verbo,avvizzire,Italiano,1s:allapparu;2s:allapparas;3s:allappara;1p:allapparamu;2p:allapparati;3p:allapparanu;1s_pass:allapparai;2s_pass:allapparasti;3s_pass:allapparau;1p_pass:allapparàmuru;2p_pass:allapparàstivu;3p_pass:allapparàranu,OK
allatinari,Verbo,addottrinare,Italiano,1s:allatinu;2s:allatinas;3s:allatina;1p:allatinamu;2p:allatinati;3p:allatinanu;1s_pass:allatinai;2s_pass:allatinasti;3s_pass:allatinau;1p_pass:allatinàmuru;2p_pass:allatinàstivu;3p_pass:allatinàranu,OK
allattucari,Verbo,accestire,Italiano,1s:allattucu;2s:allattucas;3s:allattuca;1p:allattucamu;2p:allattucati;3p:allattucanu;1s_pass:allattucai;2s_pass:allattucasti;3s_pass:allattucau;1p_pass:allattucàmuru;2p_pass:allattucàstivu;3p_pass:allattucàranu,OK
allattumari,Verbo,ingrassare molto (detto di animali),Italiano,1s:allattumu;2s:allattumas;3s:allattuma;1p:allattumamu;2p:allattumati;3p:allattumanu;1s_pass:allattumai;2s_pass:allattumasti;3s_pass:allattumau;1p_pass:allattumàmuru;2p_pass:allattumàstivu;3p_pass:allattumàranu,OK
allavancari,Verbo,buttare giù,Italiano,1s:allavancu;2s:allavancas;3s:allavanca;1p:allavancamu;2p:allavancati;3p:allavancanu;1s_pass:allavancai;2s_pass:allavancasti;3s_pass:allavancau;1p_pass:allavancàmuru;2p_pass:allavancàstivu;3p_pass:allavancàranu,OK
allavinari,Verbo,allagare,Italiano,1s:allavinu;2s:allavinas;3s:allavina;1p:allavinamu;2p:allavinati;3p:allavinanu;1s_pass:allavinai;2s_pass:allavinasti;3s_pass:allavinau;1p_pass:allavinàmuru;2p_pass:allavinàstivu;3p_pass:allavinàranu,OK
allianari,Verbo,divertire,Italiano,1s:allianu;2s:allianas;3s:alliana;1p:allianamu;2p:allianati;3p:alliananu;1s_pass:allianai;2s_pass:allianasti;3s_pass:allianau;1p_pass:allianàmuru;2p_pass:allianàstivu;3p_pass:allianàranu,OK
alliari,Verbo,allegare (detto dei denti),Italiano,1s:alliu;2s:allias;3s:allia;1p:alliamu;2p:alliati;3p:allianu;1s_pass:alliai;2s_pass:alliasti;3s_pass:alliau;1p_pass:alliàmuru;2p_pass:alliàstivu;3p_pass:alliàranu,OK
allibbirtari,Verbo,mettere in libertà,Italiano,1s:allibbirtu;2s:allibbirtas;3s:allibbirta;1p:allibbirtamu;2p:allibbirtati;3p:allibbirtanu;1s_pass:allibbirtai;2s_pass:allibbirtasti;3s_pass:allibbirtau;1p_pass:allibbirtàmuru;2p_pass:allibbirtàstivu;3p_pass:allibbirtàranu,OK
allibirtari,Verbo,mettere in libertà,Italiano,1s:allibirtu;2s:allibirtas;3s:allibirta;1p:allibirtamu;2p:allibirtati;3p:allibirtanu;1s_pass:allibirtai;2s_pass:allibirtasti;3s_pass:allibirtau;1p_pass:allibirtàmuru;2p_pass:allibirtàstivu;3p_pass:allibirtàranu,OK
allicchittari,Verbo,parlare in maniera elegante e ricercata,Italiano,1s:allicchittu;2s:allicchittas;3s:allicchitta;1p:allicchittamu;2p:allicchittati;3p:allicchittanu;1s_pass:allicchittai;2s_pass:allicchittasti;3s_pass:allicchittau;1p_pass:allicchittàmuru;2p_pass:allicchittàstivu;3p_pass:allicchittàranu,OK
alliffari,Verbo,"acconciare, agghindire",Italiano,1s:alliffu;2s:alliffas;3s:alliffa;1p:alliffamu;2p:alliffati;3p:alliffanu;1s_pass:alliffai;2s_pass:alliffasti;3s_pass:alliffau;1p_pass:alliffàmuru;2p_pass:alliffàstivu;3p_pass:alliffàranu,OK
alligamari,Verbo,legare,Italiano,1s:alligamu;2s:alligamas;3s:alligama;1p:alligamamu;2p:alligamati;3p:alligamanu;1s_pass:alligamai;2s_pass:alligamasti;3s_pass:alligamau;1p_pass:alligamàmuru;2p_pass:alligamàstivu;3p_pass:alligamàranu,OK
alliggiari,Verbo,alleggerire,Italiano,1s:alliggiu;2s:alliggias;3s:alliggia;1p:alliggiamu;2p:alliggiati;3p:alliggianu;1s_pass:alliggiai;2s_pass:alliggiasti;3s_pass:alliggiau;1p_pass:alliggiàmuru;2p_pass:alliggiàstivu;3p_pass:alliggiàranu,OK
allignaggiari,Verbo,tagliare i tralci (tagliare i rami giovani),Italiano,1s:allignaggiu;2s:allignaggias;3s:allignaggia;1p:allignaggiamu;2p:allignaggiati;3p:allignaggianu;1s_pass:allignaggiai;2s_pass:allignaggiasti;3s_pass:allignaggiau;1p_pass:allignaggiàmuru;2p_pass:allignaggiàstivu;3p_pass:allignaggiàranu,OK
allijari,Verbo,allegare (detto dei denti),Italiano,1s:alliju;2s:allijas;3s:allija;1p:allijamu;2p:allijati;3p:allijanu;1s_pass:allijai;2s_pass:allijasti;3s_pass:allijau;1p_pass:allijàmuru;2p_pass:allijàstivu;3p_pass:allijàranu,OK
allimari,Verbo,"esser d'accordo, combaciare",Italiano,1s:allimu;2s:allimas;3s:allima;1p:allimamu;2p:allimati;3p:allimanu;1s_pass:allimai;2s_pass:allimasti;3s_pass:allimau;1p_pass:allimàmuru;2p_pass:allimàstivu;3p_pass:allimàranu,OK
allintari,Verbo,"aminorar, disminuir",Español,1s:allintu;2s:allintas;3s:allinta;1p:allintamu;2p:allintati;3p:allintanu;1s_pass:allintai;2s_pass:allintasti;3s_pass:allintau;1p_pass:allintàmuru;2p_pass:allintàstivu;3p_pass:allintàranu,OK
allippari,Verbo,allappare (bocca),Italiano,1s:allippu;2s:allippas;3s:allippa;1p:allippamu;2p:allippati;3p:allippanu;1s_pass:allippai;2s_pass:allippasti;3s_pass:allippau;1p_pass:allippàmuru;2p_pass:allippàstivu;3p_pass:allippàranu,OK
allisari,Verbo,indurirsi (della terra),Italiano,1s:allisu;2s:allisas;3s:allisa;1p:allisamu;2p:allisati;3p:allisanu;1s_pass:allisai;2s_pass:allisasti;3s_pass:allisau;1p_pass:allisàmuru;2p_pass:allisàstivu;3p_pass:allisàranu,OK
allitticari,Verbo,"mettersi a letto, allettarsi",Italiano,1s:allitticu;2s:allitticas;3s:allittica;1p:allitticamu;2p:allitticati;3p:allitticanu;1s_pass:allitticai;2s_pass:allitticasti;3s_pass:allitticau;1p_pass:allitticàmuru;2p_pass:allitticàstivu;3p_pass:allitticàranu,OK
allivari,Verbo,"liberarsi da un pensiero, alleviarsi da un pensiero",Italiano,1s:allivu;2s:allivas;3s:alliva;1p:allivamu;2p:allivati;3p:allivanu;1s_pass:allivai;2s_pass:allivasti;3s_pass:allivau;1p_pass:allivàmuru;2p_pass:allivàstivu;3p_pass:allivàranu,OK
allivìsciri,Verbo,"volver a vivir, resucitar",Español,1s:allivìscu;2s:allivìsci;3s:allivìsci;1p:allivìscimu;2p:allivìsciti;3p:allivìscinu;1s_pass:allivìscii;2s_pass:allivìscisti;3s_pass:allivìscìu;1p_pass:allivìscìmuru;2p_pass:allivìscìstivu;3p_pass:allivìscìranu,OK
alloirari,Verbo,richiamare il falcone,Italiano,1s:alloiru;2s:alloiras;3s:alloira;1p:alloiramu;2p:alloirati;3p:alloiranu;1s_pass:alloirai;2s_pass:alloirasti;3s_pass:alloirau;1p_pass:alloiràmuru;2p_pass:alloiràstivu;3p_pass:alloiràranu,OK
alluccuniari,Verbo,"mangiare avidamente, ingoiare",Italiano,1s:alluccuniu;2s:alluccunias;3s:alluccunia;1p:alluccuniamu;2p:alluccuniati;3p:alluccunianu;1s_pass:alluccuniai;2s_pass:alluccuniasti;3s_pass:alluccuniau;1p_pass:alluccuniàmuru;2p_pass:alluccuniàstivu;3p_pass:alluccuniàranu,OK
alluciari,Verbo,abbagliare,Italiano,1s:alluciu;2s:allucias;3s:allucia;1p:alluciamu;2p:alluciati;3p:allucianu;1s_pass:alluciai;2s_pass:alluciasti;3s_pass:alluciau;1p_pass:alluciàmuru;2p_pass:alluciàstivu;3p_pass:alluciàranu,OK
allucintari,Verbo,"lusingare abbagliando, sedurre",Italiano,1s:allucintu;2s:allucintas;3s:allucinta;1p:allucintamu;2p:allucintati;3p:allucintanu;1s_pass:allucintai;2s_pass:allucintasti;3s_pass:allucintau;1p_pass:allucintàmuru;2p_pass:allucintàstivu;3p_pass:allucintàranu,OK
allunari,Verbo,"cerchiare, girare a guisa di mezza luna",Italiano,1s:allunu;2s:allunas;3s:alluna;1p:allunamu;2p:allunati;3p:allunanu;1s_pass:allunai;2s_pass:allunasti;3s_pass:allunau;1p_pass:allunàmuru;2p_pass:allunàstivu;3p_pass:allunàranu,OK
allungari,Verbo,alargar,Español,1s:allungu;2s:allungas;3s:allunga;1p:allungamu;2p:allungati;3p:allunganu;1s_pass:allungai;2s_pass:allungasti;3s_pass:allungau;1p_pass:allungàmuru;2p_pass:allungàstivu;3p_pass:allungàranu,OK
allupari,Verbo,"1. fallire, 2. detto di piante di fave infestate da orobanche",Italiano,1s:allupu;2s:allupas;3s:allupa;1p:allupamu;2p:allupati;3p:allupanu;1s_pass:allupai;2s_pass:allupasti;3s_pass:allupau;1p_pass:allupàmuru;2p_pass:allupàstivu;3p_pass:allupàranu,OK
allusciari,Verbo,acconciarsi,Italiano,1s:allusciu;2s:alluscias;3s:alluscia;1p:allusciamu;2p:allusciati;3p:alluscianu;1s_pass:allusciai;2s_pass:allusciasti;3s_pass:allusciau;1p_pass:allusciàmuru;2p_pass:allusciàstivu;3p_pass:allusciàranu,OK
alluttari,Verbo,luchar,Español,1s:alluttu;2s:alluttas;3s:allutta;1p:alluttamu;2p:alluttati;3p:alluttanu;1s_pass:alluttai;2s_pass:alluttasti;3s_pass:alluttau;1p_pass:alluttàmuru;2p_pass:alluttàstivu;3p_pass:alluttàranu,OK
alluzzari,Verbo,sbirciare,Italiano,1s:alluzzu;2s:alluzzas;3s:alluzza;1p:alluzzamu;2p:alluzzati;3p:alluzzanu;1s_pass:alluzzai;2s_pass:alluzzasti;3s_pass:alluzzau;1p_pass:alluzzàmuru;2p_pass:alluzzàstivu;3p_pass:alluzzàranu,OK
allèstiri,Verbo,far presto,Italiano,1s:allèstu;2s:allèsti;3s:allèsti;1p:allèstimu;2p:allèstiti;3p:allèstinu;1s_pass:allèstii;2s_pass:allèstisti;3s_pass:allèstìu;1p_pass:allèstìmuru;2p_pass:allèstìstivu;3p_pass:allèstìranu,OK
amari,Verbo,amar (querer),Español,1s:amu;2s:amas;3s:ama;1p:amamu;2p:amati;3p:amanu;1s_pass:amai;2s_pass:amasti;3s_pass:amau;1p_pass:amàmuru;2p_pass:amàstivu;3p_pass:amàranu,OK
ammacciari,Verbo,ostinarsi,Italiano,1s:ammacciu;2s:ammaccias;3s:ammaccia;1p:ammacciamu;2p:ammacciati;3p:ammaccianu;1s_pass:ammacciai;2s_pass:ammacciasti;3s_pass:ammacciau;1p_pass:ammacciàmuru;2p_pass:ammacciàstivu;3p_pass:ammacciàranu,OK
ammagghiari,Verbo,legare in maglia,Italiano,1s:ammagghiu;2s:ammagghias;3s:ammagghia;1p:ammagghiamu;2p:ammagghiati;3p:ammagghianu;1s_pass:ammagghiai;2s_pass:ammagghiasti;3s_pass:ammagghiau;1p_pass:ammagghiàmuru;2p_pass:ammagghiàstivu;3p_pass:ammagghiàranu,OK
ammammari,Verbo,"1. affezionarsi alla mamma, da parte dei bambini, 2. affiatarsi",Italiano,1s:ammammu;2s:ammammas;3s:ammamma;1p:ammammamu;2p:ammammati;3p:ammammanu;1s_pass:ammammai;2s_pass:ammammasti;3s_pass:ammammau;1p_pass:ammammàmuru;2p_pass:ammammàstivu;3p_pass:ammammàranu,OK
ammanatari,Verbo,fare manipoli,Italiano,1s:ammanatu;2s:ammanatas;3s:ammanata;1p:ammanatamu;2p:ammanatati;3p:ammanatanu;1s_pass:ammanatai;2s_pass:ammanatasti;3s_pass:ammanatau;1p_pass:ammanatàmuru;2p_pass:ammanatàstivu;3p_pass:ammanatàranu,OK
ammancari,Verbo,faltar,Español,1s:ammancu;2s:ammancas;3s:ammanca;1p:ammancamu;2p:ammancati;3p:ammancanu;1s_pass:ammancai;2s_pass:ammancasti;3s_pass:ammancau;1p_pass:ammancàmuru;2p_pass:ammancàstivu;3p_pass:ammancàranu,OK
ammanticari,Verbo,"coagulare, mantecare, cagliare",Italiano,1s:ammanticu;2s:ammanticas;3s:ammantica;1p:ammanticamu;2p:ammanticati;3p:ammanticanu;1s_pass:ammanticai;2s_pass:ammanticasti;3s_pass:ammanticau;1p_pass:ammanticàmuru;2p_pass:ammanticàstivu;3p_pass:ammanticàranu,OK
ammaraggiari,Verbo,soffrire il mal di mare,Italiano,1s:ammaraggiu;2s:ammaraggias;3s:ammaraggia;1p:ammaraggiamu;2p:ammaraggiati;3p:ammaraggianu;1s_pass:ammaraggiai;2s_pass:ammaraggiasti;3s_pass:ammaraggiau;1p_pass:ammaraggiàmuru;2p_pass:ammaraggiàstivu;3p_pass:ammaraggiàranu,OK
ammarazzari,Verbo,"bloquear, atascar",Español,1s:ammarazzu;2s:ammarazzas;3s:ammarazza;1p:ammarazzamu;2p:ammarazzati;3p:ammarazzanu;1s_pass:ammarazzai;2s_pass:ammarazzasti;3s_pass:ammarazzau;1p_pass:ammarazzàmuru;2p_pass:ammarazzàstivu;3p_pass:ammarazzàranu,OK
ammargiari,Verbo,impaludare,Italiano,1s:ammargiu;2s:ammargias;3s:ammargia;1p:ammargiamu;2p:ammargiati;3p:ammargianu;1s_pass:ammargiai;2s_pass:ammargiasti;3s_pass:ammargiau;1p_pass:ammargiàmuru;2p_pass:ammargiàstivu;3p_pass:ammargiàranu,OK
ammascari,Verbo,"fare il bravaccio, fare lo spavaldo",Italiano,1s:ammascu;2s:ammascas;3s:ammasca;1p:ammascamu;2p:ammascati;3p:ammascanu;1s_pass:ammascai;2s_pass:ammascasti;3s_pass:ammascau;1p_pass:ammascàmuru;2p_pass:ammascàstivu;3p_pass:ammascàranu,OK
ammastrari,Verbo,"1. ammaestrare, addestrare, 2. rimondare gli alberi, sfoltire",Italiano,1s:ammastru;2s:ammastras;3s:ammastra;1p:ammastramu;2p:ammastrati;3p:ammastranu;1s_pass:ammastrai;2s_pass:ammastrasti;3s_pass:ammastrau;1p_pass:ammastràmuru;2p_pass:ammastràstivu;3p_pass:ammastràranu,OK
ammazzacanari,Verbo,intonacare con calce grossolana e rottami di pietra,Italiano,1s:ammazzacanu;2s:ammazzacanas;3s:ammazzacana;1p:ammazzacanamu;2p:ammazzacanati;3p:ammazzacananu;1s_pass:ammazzacanai;2s_pass:ammazzacanasti;3s_pass:ammazzacanau;1p_pass:ammazzacanàmuru;2p_pass:ammazzacanàstivu;3p_pass:ammazzacanàranu,OK
ammazzarari,Verbo,mazzerare,Italiano,1s:ammazzaru;2s:ammazzaras;3s:ammazzara;1p:ammazzaramu;2p:ammazzarati;3p:ammazzaranu;1s_pass:ammazzarai;2s_pass:ammazzarasti;3s_pass:ammazzarau;1p_pass:ammazzaràmuru;2p_pass:ammazzaràstivu;3p_pass:ammazzaràranu,OK
ammazzari,Verbo,"1. ammazzare (uccidere), 2. essere tra l'acerbo e il maturo, invaiolarsi dell'uva",Italiano,1s:ammazzu;2s:ammazzas;3s:ammazza;1p:ammazzamu;2p:ammazzati;3p:ammazzanu;1s_pass:ammazzai;2s_pass:ammazzasti;3s_pass:ammazzau;1p_pass:ammazzàmuru;2p_pass:ammazzàstivu;3p_pass:ammazzàranu,OK
ammicciari,Verbo,pigliare la mira,Italiano,1s:ammicciu;2s:ammiccias;3s:ammiccia;1p:ammicciamu;2p:ammicciati;3p:ammiccianu;1s_pass:ammicciai;2s_pass:ammicciasti;3s_pass:ammicciau;1p_pass:ammicciàmuru;2p_pass:ammicciàstivu;3p_pass:ammicciàranu,OK
ammilintari,Verbo,"millantare, millantarsi",Italiano,1s:ammilintu;2s:ammilintas;3s:ammilinta;1p:ammilintamu;2p:ammilintati;3p:ammilintanu;1s_pass:ammilintai;2s_pass:ammilintasti;3s_pass:ammilintau;1p_pass:ammilintàmuru;2p_pass:ammilintàstivu;3p_pass:ammilintàranu,OK
amminchialiri,Verbo,istupidire,Italiano,1s:amminchialu;2s:amminchiali;3s:amminchiali;1p:amminchialimu;2p:amminchialiti;3p:amminchialinu;1s_pass:amminchialii;2s_pass:amminchialisti;3s_pass:amminchialìu;1p_pass:amminchialìmuru;2p_pass:amminchialìstivu;3p_pass:amminchialìranu,OK
amminnaliri,Verbo,istupidire,Italiano,1s:amminnalu;2s:amminnali;3s:amminnali;1p:amminnalimu;2p:amminnaliti;3p:amminnalinu;1s_pass:amminnalii;2s_pass:amminnalisti;3s_pass:amminnalìu;1p_pass:amminnalìmuru;2p_pass:amminnalìstivu;3p_pass:amminnalìranu,OK
ammintari,Verbo,inventar,Español,1s:ammintu;2s:ammintas;3s:amminta;1p:ammintamu;2p:ammintati;3p:ammintanu;1s_pass:ammintai;2s_pass:ammintasti;3s_pass:ammintau;1p_pass:ammintàmuru;2p_pass:ammintàstivu;3p_pass:ammintàranu,OK
ammirari,Verbo,admirar,Español,1s:ammiru;2s:ammiras;3s:ammira;1p:ammiramu;2p:ammirati;3p:ammiranu;1s_pass:ammirai;2s_pass:ammirasti;3s_pass:ammirau;1p_pass:ammiràmuru;2p_pass:ammiràstivu;3p_pass:ammiràranu,OK
ammiritari,Verbo,"remunerare (ricompensare, rimeritare)",Italiano,1s:ammiritu;2s:ammiritas;3s:ammirita;1p:ammiritamu;2p:ammiritati;3p:ammiritanu;1s_pass:ammiritai;2s_pass:ammiritasti;3s_pass:ammiritau;1p_pass:ammiritàmuru;2p_pass:ammiritàstivu;3p_pass:ammiritàranu,OK
ammiscari,Verbo,mezclar,Español,1s:ammiscu;2s:ammiscas;3s:ammisca;1p:ammiscamu;2p:ammiscati;3p:ammiscanu;1s_pass:ammiscai;2s_pass:ammiscasti;3s_pass:ammiscau;1p_pass:ammiscàmuru;2p_pass:ammiscàstivu;3p_pass:ammiscàranu,OK
ammizziari,Verbo,dimezzare (dividere in due),Italiano,1s:ammizziu;2s:ammizzias;3s:ammizzia;1p:ammizziamu;2p:ammizziati;3p:ammizzianu;1s_pass:ammizziai;2s_pass:ammizziasti;3s_pass:ammizziau;1p_pass:ammizziàmuru;2p_pass:ammizziàstivu;3p_pass:ammizziàranu,OK
ammuccari,Verbo,imboccare,Italiano,1s:ammuccu;2s:ammuccas;3s:ammucca;1p:ammuccamu;2p:ammuccati;3p:ammuccanu;1s_pass:ammuccai;2s_pass:ammuccasti;3s_pass:ammuccau;1p_pass:ammuccàmuru;2p_pass:ammuccàstivu;3p_pass:ammuccàranu,OK
ammucciari,Verbo,esconder,Español,1s:ammucciu;2s:ammuccias;3s:ammuccia;1p:ammucciamu;2p:ammucciati;3p:ammuccianu;1s_pass:ammucciai;2s_pass:ammucciasti;3s_pass:ammucciau;1p_pass:ammucciàmuru;2p_pass:ammucciàstivu;3p_pass:ammucciàranu,OK
ammuddiscari,Verbo,avvizzire,Italiano,1s:ammuddiscu;2s:ammuddiscas;3s:ammuddisca;1p:ammuddiscamu;2p:ammuddiscati;3p:ammuddiscanu;1s_pass:ammuddiscai;2s_pass:ammuddiscasti;3s_pass:ammuddiscau;1p_pass:ammuddiscàmuru;2p_pass:ammuddiscàstivu;3p_pass:ammuddiscàranu,OK
ammuffari,Verbo,"ammuffire, ammuffare",Italiano,1s:ammuffu;2s:ammuffas;3s:ammuffa;1p:ammuffamu;2p:ammuffati;3p:ammuffanu;1s_pass:ammuffai;2s_pass:ammuffasti;3s_pass:ammuffau;1p_pass:ammuffàmuru;2p_pass:ammuffàstivu;3p_pass:ammuffàranu,OK
ammugghiari,Verbo,envolver,Español,1s:ammugghiu;2s:ammugghias;3s:ammugghia;1p:ammugghiamu;2p:ammugghiati;3p:ammugghianu;1s_pass:ammugghiai;2s_pass:ammugghiasti;3s_pass:ammugghiau;1p_pass:ammugghiàmuru;2p_pass:ammugghiàstivu;3p_pass:ammugghiàranu,OK
ammulari,Verbo,amolar,Español,1s:ammulu;2s:ammulas;3s:ammula;1p:ammulamu;2p:ammulati;3p:ammulanu;1s_pass:ammulai;2s_pass:ammulasti;3s_pass:ammulau;1p_pass:ammulàmuru;2p_pass:ammulàstivu;3p_pass:ammulàranu,OK
ammuntunari,Verbo,"ammassare, ammonticchiare",Italiano,1s:ammuntunu;2s:ammuntunas;3s:ammuntuna;1p:ammuntunamu;2p:ammuntunati;3p:ammuntunanu;1s_pass:ammuntunai;2s_pass:ammuntunasti;3s_pass:ammuntunau;1p_pass:ammuntunàmuru;2p_pass:ammuntunàstivu;3p_pass:ammuntunàranu,OK
ammunziddari,Verbo,"ammonticchiare, ammucchiare, accumulare",Italiano,1s:ammunziddu;2s:ammunziddas;3s:ammunzidda;1p:ammunziddamu;2p:ammunziddati;3p:ammunziddanu;1s_pass:ammunziddai;2s_pass:ammunziddasti;3s_pass:ammunziddau;1p_pass:ammunziddàmuru;2p_pass:ammunziddàstivu;3p_pass:ammunziddàranu,OK
ammuragghiari,Verbo,ammassare sassi,Italiano,1s:ammuragghiu;2s:ammuragghias;3s:ammuragghia;1p:ammuragghiamu;2p:ammuragghiati;3p:ammuragghianu;1s_pass:ammuragghiai;2s_pass:ammuragghiasti;3s_pass:ammuragghiau;1p_pass:ammuragghiàmuru;2p_pass:ammuragghiàstivu;3p_pass:ammuragghiàranu,OK
ammurgari,Verbo,ungere con morchia,Italiano,1s:ammurgu;2s:ammurgas;3s:ammurga;1p:ammurgamu;2p:ammurgati;3p:ammurganu;1s_pass:ammurgai;2s_pass:ammurgasti;3s_pass:ammurgau;1p_pass:ammurgàmuru;2p_pass:ammurgàstivu;3p_pass:ammurgàranu,OK
ammursari,Verbo,far colazione,Italiano,1s:ammursu;2s:ammursas;3s:ammursa;1p:ammursamu;2p:ammursati;3p:ammursanu;1s_pass:ammursai;2s_pass:ammursasti;3s_pass:ammursau;1p_pass:ammursàmuru;2p_pass:ammursàstivu;3p_pass:ammursàranu,OK
ammusciari,Verbo,diventare floscio,Italiano,1s:ammusciu;2s:ammuscias;3s:ammuscia;1p:ammusciamu;2p:ammusciati;3p:ammuscianu;1s_pass:ammusciai;2s_pass:ammusciasti;3s_pass:ammusciau;1p_pass:ammusciàmuru;2p_pass:ammusciàstivu;3p_pass:ammusciàranu,OK
ammussari,Verbo,"crucciarsi, ingrugnare",Italiano,1s:ammussu;2s:ammussas;3s:ammussa;1p:ammussamu;2p:ammussati;3p:ammussanu;1s_pass:ammussai;2s_pass:ammussasti;3s_pass:ammussau;1p_pass:ammussàmuru;2p_pass:ammussàstivu;3p_pass:ammussàranu,OK
ammustrari,Verbo,mostrar,Español,1s:ammustru;2s:ammustras;3s:ammustra;1p:ammustramu;2p:ammustrati;3p:ammustranu;1s_pass:ammustrai;2s_pass:ammustrasti;3s_pass:ammustrau;1p_pass:ammustràmuru;2p_pass:ammustràstivu;3p_pass:ammustràranu,OK
ammuttari,Verbo,spingere avanti,Italiano,1s:ammuttu;2s:ammuttas;3s:ammutta;1p:ammuttamu;2p:ammuttati;3p:ammuttanu;1s_pass:ammuttai;2s_pass:ammuttasti;3s_pass:ammuttau;1p_pass:ammuttàmuru;2p_pass:ammuttàstivu;3p_pass:ammuttàranu,OK
anfari,Verbo,abbronzare (per il sole e per il fuoco),Italiano,1s:anfu;2s:anfas;3s:anfa;1p:anfamu;2p:anfati;3p:anfanu;1s_pass:anfai;2s_pass:anfasti;3s_pass:anfau;1p_pass:anfàmuru;2p_pass:anfàstivu;3p_pass:anfàranu,OK
annacari,Verbo,"1. cullare, 2. sbrigarsi (fare in fretta)",Italiano,1s:annacu;2s:annacas;3s:annaca;1p:annacamu;2p:annacati;3p:annacanu;1s_pass:annacai;2s_pass:annacasti;3s_pass:annacau;1p_pass:annacàmuru;2p_pass:annacàstivu;3p_pass:annacàranu,OK
annarbari,Verbo,amanecer,Español,1s:annarbu;2s:annarbas;3s:annarba;1p:annarbamu;2p:annarbati;3p:annarbanu;1s_pass:annarbai;2s_pass:annarbasti;3s_pass:annarbau;1p_pass:annarbàmuru;2p_pass:annarbàstivu;3p_pass:annarbàranu,OK
annarcari,Verbo,"1. inarcare (incurvare ad arco), 2. impennare",Italiano,1s:annarcu;2s:annarcas;3s:annarca;1p:annarcamu;2p:annarcati;3p:annarcanu;1s_pass:annarcai;2s_pass:annarcasti;3s_pass:annarcau;1p_pass:annarcàmuru;2p_pass:annarcàstivu;3p_pass:annarcàranu,OK
annari,Verbo,andare,Italiano,1s:annu;2s:annas;3s:anna;1p:annamu;2p:annati;3p:annanu;1s_pass:annai;2s_pass:annasti;3s_pass:annau;1p_pass:annàmuru;2p_pass:annàstivu;3p_pass:annàranu,OK
annarmaliri,Verbo,"1. imbestialire, 2. sbalordire",Italiano,1s:annarmalu;2s:annarmali;3s:annarmali;1p:annarmalimu;2p:annarmaliti;3p:annarmalinu;1s_pass:annarmalii;2s_pass:annarmalisti;3s_pass:annarmalìu;1p_pass:annarmalìmuru;2p_pass:annarmalìstivu;3p_pass:annarmalìranu,OK
