Palabra,Sustantivo,Traduccion,Idioma,Conjugaciones,Estado
bizzè,Sustantivo,abecé (alfabeto),Español,,OK
blattarìa,Sustantivo,"1. verbasco (Verbascum blattaria), 2. gordolobo (Verbascum thapsus)",Español,,OK
blonna,Verbo,tessuto raro di seta per abiti femminili,Italiano,,OK
blusa,Sustantivo,bata,Español,,OK
blàcchiti,Verbo,"lento nell'agire, posapiano",Italiano,,OK
boggiornu,Adjetivo,buenos días,Español,,OK
bognornu,Adjetivo,buenos días,Español,,OK
bona notti,Verbo,buenas noches,Español,,OK
bona nova,Sustantivo,"buena nueva, buena noticia",Español,,OK
bona sira,Verbo,"buenas noches, buenas tardes",Español,,OK
bonanova,Sustantivo,"buena nueva, buena noticia",Español,,OK
bongionnu,Adjetivo,buenos días,Español,,OK
bongiornu,Adjetivo,buenos días,Español,,OK
bonjornu,Adjetivo,buenos días,Español,,OK
boscu,Sustantivo,bosque,Español,,OK
botti,Verbo,"infiammazione alle tonsille, che rende difficile l'inghiottire",Italiano,,OK
bozza,Verbo,"vaso, ove tenere vino o acqua in ghiaccio / vescica che hanno i polli sotto il collo, dove si ferma il cibo inghiottito, gozzo",Italiano,,OK
braber,Sustantivo,Tamazight del Marruecos central,Español,,OK
braccami,Sustantivo,"polloni, rocchi di tronchi tagliati per ardere",Italiano,,OK
braccoccu,Sustantivo,albaricoque,Español,,OK
bramoria,Verbo,deseo intenso,Español,,OK
brascu,Sustantivo,cavolo comune (Brassica oleracea),Italiano,,OK
bratta,Sustantivo,cucaracha,Español,,OK
brattarìa,Sustantivo,"1. verbasco (Verbascum blattaria), 2. gordolobo (Verbascum thapsus)",Español,,OK
brattu,Sustantivo,cucaracha,Español,,OK
bremi,Sustantivo,cordicelle per attaccare le paromelle alle reti,Italiano,,OK
bricu,Sustantivo,beccuccio,Italiano,,OK
broccia,Sustantivo,"1. horquilla, 2. tenedor",Español,,OK
brogna,Verbo,"""tritone"" (gran molusco cuya concha cónica está usada como trompa)",Español,,OK
bromu,Sustantivo,medusa,Español,,OK
broscia,Sustantivo,"spazio tra solco e solco, nel quale si gettano e si ricoprono i semi",Italiano,,OK
bruca,Sustantivo,tamarisco (Tamarix gallica),Español,,OK
bruccheri,Sustantivo,piccola rotella,Italiano,,OK
brucchia,Sustantivo,"brote, yema, capullo",Español,,OK
brucculuni,Sustantivo,grande bernoccolo,Italiano,,OK
bruddu,Sustantivo,alegría,Español,,OK
brugghiu,Sustantivo,alegría,Español,,OK
brusca,Conjunción/Adverbio,pincel para blanquear las paredes,Español,,OK
bruscia,Conjunción/Adverbio,pincel para blanquear las paredes,Español,,OK
bruzza,Sustantivo,minuzzolo di legno,Italiano,,OK
brèmu,Sustantivo,lima,Italiano,,OK
brùfulu,Sustantivo,"grano, barro",Español,,OK
buatta,Verbo,lata (de atún o de tomates),Español,,OK
bucca,Sustantivo,boca,Español,,OK
bucchi,Sustantivo,bocas,Español,,OK
buccirìa,Sustantivo,carnicería,Español,,OK
buccularu,Sustantivo,papada,Español,,OK
buccuni,Sustantivo,bocado,Español,,OK
bucecia,Sustantivo,gallina,Italiano,,OK
bucieci,Sustantivo,gallina,Italiano,,OK
buffetta,Verbo,mesa ocasional,Español,,OK
buffittuni,Sustantivo,"bofetada, torta",Español,,OK
buffulata,Sustantivo,"bofetada, torta",Español,,OK
buffuluni,Sustantivo,"bofetada, torta /",Español,,OK
bugghiu,Verbo,"trigone (Dasyatis pastinaca), pastinaca comune (pesce simile alla raia)",Italiano,,OK
buiana,Sustantivo,prostituta,Español,,OK
bujana,Sustantivo,prostituta,Español,,OK
bulantinu,Verbo,hilo de pesca (dejado por la noche),Español,,OK
buleu,Sustantivo,trottola,Italiano,,OK
bullantinu,Verbo,hilo de pesca (dejado por la noche),Español,,OK
bullintinu,Verbo,hilo de pesca (dejado por la noche),Español,,OK
bulluni,Sustantivo,bulón,Español,,OK
burcheri,Sustantivo,piccola rotella,Italiano,,OK
burduni,Sustantivo,grossa trave portante,Italiano,,OK
burgiu,Sustantivo,"gavilla, haz, montón de heno",Español,,OK
buridda,Verbo,odore di ranno che esala dai panni,Italiano,,OK
buriddu,Sustantivo,mal olor (de comida cortada),Español,,OK
burru,Sustantivo,mantequilla,Español,,OK
busa,Sustantivo,cernícalo (Buteo buteo) /,Español,,OK
buscia,Sustantivo,gallina ciuffuta,Italiano,,OK
busciu,Verbo,boj común (Buxus sempervirens),Español,,OK
busciularu,Sustantivo,papada,Español,,OK
busolu,Sustantivo,alféizar (de ventana),Español,,OK
busunagghia,Sustantivo,carne di infima qualità del tonno,Italiano,,OK
busunettu,Verbo,"1. pietra per fabbricare 2. strumento chirurgico che ha in cima una pallatola, ramaiuolo",Italiano,,OK
butrognu,Sustantivo,enfiatura,Italiano,,OK
buttuni,Sustantivo,butón,Español,,OK
buzzolu,Sustantivo,alféizar (de ventana),Español,,OK
bàcara,Sustantivo,"piccolo boccale, piccolo vaso di terracotta",Italiano,,OK
bàlacu,Verbo,"alelí (Cheiranthus cheiri, Erysimum cheiri), alhelí dorado, alhelí amarillo",Español,,OK
bàlicu,Verbo,"alelí (Cheiranthus cheiri, Erysimum cheiri), alhelí dorado, alhelí amarillo",Español,,OK
bàrrula,Sustantivo,malattia che produce vermi tra carne e pelle,Italiano,,OK
bèrtuli,Sustantivo,alforjas,Español,,OK
bèttuli,Sustantivo,alforjas,Español,,OK
bìculi bàculi,Sustantivo,percosse,Italiano,,OK
bìsula,Verbo,piccola pietra per il gioco fanciullesco dei cinque sassi,Italiano,,OK
bòddaru,Verbo,"hinchazón irritante, tumefacción",Español,,OK
bòffula,Sustantivo,"bofetada, torta",Español,,OK
bòira,Sustantivo,viento del Norte,Español,,OK
bòria,Sustantivo,viento del Norte,Español,,OK
bùrgula,Sustantivo,"lunar, peca",Español,,OK
bùzzara,Sustantivo,sodomía,Español,,OK
ca mancia tuttu,Sustantivo,omnívoro,Español,,OK
cacafìcati,Sustantivo,persona noiosa,Italiano,,OK
caccagnu,Sustantivo,talón,Español,,OK
cacchi cosa,Sustantivo,algo,Español,,OK
cacchiu,Sustantivo,pene,Italiano,,OK
cacciaturi,Sustantivo,cazador,Español,,OK
cacciottu,Sustantivo,"1. cappello basso, 2. cazzotto, 3. pezzo di feltro che riceve poi la forma definitiva del cappello",Italiano,,OK
cacciu,Sustantivo,"patada, puntapié, golpe con el pie",Español,,OK
caccunu,Sustantivo,alguien,Español,,OK
cacioppu,Sustantivo,tronco o toppo d'albero secco,Italiano,,OK
caciummu,Sustantivo,"pezzo di vetro colorato a globetti, per collane e sim.",Italiano,,OK
caddarita,Sustantivo,bolla alla superficie di un liquido,Italiano,,OK
caddemi,Verbo,fabricante de ricotta (queso),Español,,OK
caddimu,Verbo,fabricante de ricotta (queso),Español,,OK
caddu ô pedi,Sustantivo,callo en el pie,Español,,OK
cafesa,Sustantivo,"ponte di legno con fascine e terra, argine, sbarramento",Italiano,,OK
cafisu,Conjunción/Adverbio,unidad de medida para el aceite,Español,,OK
cagghia,Sustantivo,"jaula, caja",Español,,OK
caicuni,Sustantivo,buco nella carbonaia per appiccarvi il fuoco,Italiano,,OK
caionza,Sustantivo,legno lungo e sottile per cacciare le palline nel giucco del trucco,Italiano,,OK
caireddu,Sustantivo,borde del sombrero,Español,,OK
calacàusi,Verbo,cacahuetes,Español,,OK
calanzita,Sustantivo,specie di cicoria,Italiano,,OK
calazina,Sustantivo,specie di cicoria,Italiano,,OK
calazita,Sustantivo,specie di cicoria,Italiano,,OK
calcagnu,Sustantivo,talón,Español,,OK
calciu,Sustantivo,"patada, puntapié, golpe con el pie",Español,,OK
calebba,Sustantivo,veccia selvatica,Italiano,,OK
caleca,Verbo,tipo de ciruela pequeña,Español,,OK
calura,Sustantivo,calor,Español,,OK
caluri,Sustantivo,calor,Español,,OK
cama,Sustantivo,terra fangosa e puzzolenta,Italiano,,OK
camarruneddu,Sustantivo,"Flor de Pascua (Euphorbia pulcherrima), Noche Buena",Español,,OK
camarruni,Sustantivo,"Flor de Pascua (Euphorbia pulcherrima), Noche Buena",Español,,OK
camea,Sustantivo,"ruta, rughetta",Italiano,,OK
caminu,Sustantivo,"sendero, camino, carrera",Español,,OK
camisa,Sustantivo,"grazioso, saporoso",Italiano,,OK
camiu,Sustantivo,camión,Español,,OK
cammisa,Sustantivo,camisa,Español,,OK
camorchiu,Verbo,pezzo di legno o altro per stipare il buco della carbonaia accesa,Italiano,,OK
camparìa,Conjunción/Adverbio,"luogo dove i pescatori preparano i salsicciotti di tonno, reparto a terra della tonnara",Italiano,,OK
campi,Sustantivo,campos,Español,,OK
campusantu,Sustantivo,"camposanto, cementerio",Español,,OK
campìa,Verbo,vasta remota estensione di terreno,Italiano,,OK
cancarina,Sustantivo,capperi!,Italiano,,OK
canciarru,Sustantivo,specie di spada,Italiano,,OK
candidatu,Sustantivo,candidato,Español,,OK
canigghia,Verbo,"1. salvado (de cereales), 2. peca|pecas",Español,,OK
caniglia,Verbo,"1. salvado (de cereales), 2. peca|pecas",Español,,OK
caninanza,Sustantivo,simulazione,Italiano,,OK
caniperru,Sustantivo,can y perro (como palabra injuriosa),Español,,OK
cantanti,Sustantivo,cantante,Español,,OK
cantaranu,Sustantivo,"canterano, comò",Italiano,,OK
cantitatu,Sustantivo,candidato,Español,,OK
canuzza gnestra,Sustantivo,cagna in amore,Italiano,,OK
canuzza n jestra,Sustantivo,cagna in amore,Italiano,,OK
canzuna,Sustantivo,canción,Español,,OK
canzuni,Verbo,canciones,Español,,OK
capicciola,Sustantivo,filate di seta stracciata,Italiano,,OK
capiddera,Sustantivo,cabellera,Español,,OK
capona,Sustantivo,sorta di suono o ballo popolare,Italiano,,OK
cappuccia,Sustantivo,capucha,Español,,OK
cappucciu,Sustantivo,capucha,Español,,OK
capra,Sustantivo,cabra,Español,,OK
capraru,Sustantivo,cabrero,Español,,OK
caprettu,Sustantivo,cabrito,Español,,OK
capu,Sustantivo,cabeza (anatomía) / jefe,Español,,OK
capunata,Sustantivo,caponata siciliana (comida típica siciliana),Español,,OK
capunatina,Sustantivo,caponatina siciliana (comida típica siciliana),Español,,OK
capusatu,Sustantivo,vano sottoscala,Italiano,,OK
caputria,Sustantivo,specie di salvia,Italiano,,OK
cara,Sustantivo,cara,Español,,OK
carabbozza,Sustantivo,"cárcel, prisión",Español,,OK
carabbozzu,Sustantivo,"cárcel, prisión",Español,,OK
carabozza,Sustantivo,"cárcel, prisión",Español,,OK
carabozzu,Sustantivo,"cárcel, prisión",Español,,OK
caracozzu,Sustantivo,"cárcel, prisión / loma",Español,,OK
caracàusi,Verbo,cacahuetes,Español,,OK
caramma,Sustantivo,"grieta, rajadura, raja",Español,,OK
caramuciu,Conjunción/Adverbio,"1. conejito (cachorro de conejo), 2. chaval (para bromear), chico",Español,,OK
caramusciu,Conjunción/Adverbio,"1. conejito (cachorro de conejo), 2. chaval (para bromear), chico",Español,,OK
caranna,Sustantivo,sostanza vegetale usata in farmacia,Italiano,,OK
carara,Verbo,aire caliente y sofocante,Español,,OK
carbazzu,Sustantivo,terreno sassoso,Italiano,,OK
carbu,Sustantivo,buco nell'albero,Italiano,,OK
carbuni,Sustantivo,carbón,Español,,OK
carcagnu,Sustantivo,talón,Español,,OK
carcarozzu,Sustantivo,loma,Español,,OK
carchi cosa,Sustantivo,algo,Español,,OK
carciu,Sustantivo,"patada, puntapié, golpe con el pie / calcio",Español,,OK
carcunu,Sustantivo,alguien,Español,,OK
cardimu,Verbo,fabricante de ricotta (queso),Español,,OK
cardùbbulu,Verbo,avispón (vespa crabro),Español,,OK
careddu,Sustantivo,borde del sombrero,Español,,OK
cariota,Sustantivo,nome di pianta corrispondente all'ammi,Italiano,,OK
carma,Sustantivo,calma,Español,,OK
carmuciu,Conjunción/Adverbio,"1. conejito (cachorro de conejo), 2. chaval (para bromear), chico",Español,,OK
carmusciu,Conjunción/Adverbio,"1. conejito (cachorro de conejo), 2. chaval (para bromear), chico",Español,,OK
carni,Sustantivo,carne,Español,,OK
carota,Sustantivo,zanahoria (Daucus carota),Español,,OK
carpetta,Conjunción/Adverbio,estuche para conservar documentos,Español,,OK
carraffa,Sustantivo,garrafa,Español,,OK
carrana,Sustantivo,ricino (Ricinus communis),Español,,OK
carrata,Sustantivo,"pequeño tonel, pequeño barril",Español,,OK
carrateddu,Sustantivo,"pequeño tonel, pequeño barril",Español,,OK
carru,Sustantivo,carro,Español,,OK
carrubbeddu,Sustantivo,"fiaschettone, pendolino (Remiz pendulinus), cinciallegra (Parus maior)",Italiano,,OK
carta,Sustantivo,papel,Español,,OK
carta di crèditu,Sustantivo,tarjeta de crédito,Español,,OK
cartiddunariu,Sustantivo,ladruncolo di campagna,Italiano,,OK
cartuleci,Sustantivo,antiche carte comprovanti titoli di proprietà,Italiano,,OK
cartuleggi,Sustantivo,antiche carte comprovanti titoli di proprietà,Italiano,,OK
caruana,Sustantivo,ricino (Ricinus communis),Español,,OK
carvana,Sustantivo,ricino (Ricinus communis),Español,,OK
carvarazzi,Sustantivo,strisce di terra incolta,Italiano,,OK
carvarazzu,Sustantivo,terreno sassoso,Italiano,,OK
carvuni,Sustantivo,carbón,Español,,OK
carà carà,Sustantivo,"gioia, godimento",Italiano,,OK
casa,Sustantivo,casa,Español,,OK
casalinu,Verbo,"casa diruta, casupola",Italiano,,OK
casc'e mortu,Sustantivo,"ataúd, féretro",Español,,OK
casc'e mottu,Sustantivo,"ataúd, féretro",Español,,OK
casc'i mortu,Sustantivo,"ataúd, féretro",Español,,OK
cascarda,Sustantivo,ballo,Italiano,,OK
cascia,Sustantivo,caja,Español,,OK
cascia di mortu,Sustantivo,"ataúd, féretro",Español,,OK
casciolu,Sustantivo,cajón,Español,,OK
casedda,Sustantivo,"riquadro di terra per semenzai, aiuole per piantine",Italiano,,OK
caspu,Sustantivo,ramicello d'olivo potato,Italiano,,OK
castagna,Sustantivo,castaña,Español,,OK
casteddu,Sustantivo,castillo,Español,,OK
casu,Sustantivo,caso,Español,,OK
catacugnu,Verbo,antica veste succinta per donne,Italiano,,OK
catalanu,Sustantivo,catalán  / idioma catalán,Español,,OK
catambota,Sustantivo,capitombolo,Italiano,,OK
catammolia,Sustantivo,capitombolo,Italiano,,OK
catammonta,Sustantivo,capitombolo,Italiano,,OK
catammota,Sustantivo,capitombolo,Italiano,,OK
catamotu,Verbo,"1. moina, 2. apoplessia",Italiano,,OK
catananna,Sustantivo,bisabuela,Español,,OK
catanannu,Sustantivo,bisabuelo,Español,,OK
catarami,Sustantivo,alquitrán,Español,,OK
catarana,Sustantivo,alquitrán,Español,,OK
catarratta,Sustantivo,"trampilla, trampa",Español,,OK
catarrattu,Sustantivo,"trampilla, trampa",Español,,OK
catarratu,Sustantivo,"trampilla, trampa",Español,,OK
catatrìpulu,Sustantivo,traino senza ruote per trasporto di covoni,Italiano,,OK
caticanà,Sustantivo,uomo da nulla,Italiano,,OK
catrami,Sustantivo,alquitrán,Español,,OK
catrecia,Sustantivo,spina dorsale,Italiano,,OK
cattata,Sustantivo,vento caldo,Italiano,,OK
catu,Sustantivo,"cubo, cántaro",Español,,OK
catubbiata,Verbo,rovescio d'acqua,Italiano,,OK
catugghia,Sustantivo,"donna pettegola e volgare, civetta, frivola",Italiano,,OK
catàmmari,Verbo,"despacito, muy lento, tranquilamente",Español,,OK
catàmmari catàmmari,Verbo,"despacito, muy lento, tranquilamente",Español,,OK
cavadda,Sustantivo,yegua,Español,,OK
cavaddu,Sustantivo,caballo,Español,,OK
cavaleri,Verbo,"1. caballero, 2. jinete, soldado de caballería / 1. caballeros, 2. jinetes, soldados de caballería",Español,,OK
caviali,Sustantivo,capitale,Italiano,,OK
caviolu,Verbo,buffone da circo,Italiano,,OK
cazzianu,Sustantivo,balia (uccello),Italiano,,OK
cazzicaddè,Sustantivo,lumaca grossa,Italiano,,OK
cazzicaddì,Sustantivo,lumaca grossa,Italiano,,OK
cazzu,Sustantivo,"polla, pene",Español,,OK
ccani,Sustantivo,"acá, aquí",Español,,OK
ccetta,Sustantivo,hachuela,Español,,OK
cchiui,Sustantivo,"más, plus",Español,,OK
cchiuni,Sustantivo,"más, plus",Español,,OK
cchjui,Sustantivo,"más, plus",Español,,OK
cchjuni,Sustantivo,"más, plus",Español,,OK
cchjù,Sustantivo,"más, plus",Español,,OK
cci,Verbo,a este lugar / a él / a ella / a ellos / a ellas,Español,,OK
cciotta,Sustantivo,hachuela,Español,,OK
ccussini,Verbo,"así, de esta forma",Español,,OK
ccussì,Verbo,"así, de esta forma",Español,,OK
ccà,Sustantivo,"acá, aquí",Español,,OK
cedda,Sustantivo,"polla, pene",Español,,OK
celu,Sustantivo,cielo,Español,,OK
centru,Sustantivo,centro,Español,,OK
centu,Sustantivo,"cién, ciento",Español,,OK
centèsimu,Sustantivo,centésimo,Español,,OK
cera,Sustantivo,"silla, asiento / cara",Español,,OK
cerniventu,Sustantivo,"hombre inútil, hombre sin meta",Español,,OK
cersa,Sustantivo,roble,Español,,OK
cersavoi,Sustantivo,zafferano,Italiano,,OK
certificatu,Sustantivo,certificado,Español,,OK
cervu,Sustantivo,ciervo,Español,,OK
cerza,Sustantivo,"roble, quejigo",Español,,OK
cetta,Sustantivo,hachuela,Español,,OK
cherza,Sustantivo,roble,Español,,OK
chesia,Verbo,iglesia,Español,,OK
chetru,Sustantivo,"agua helada, hielo",Español,,OK
chi,Sustantivo,que / ¿qué? (en una pregunta) / qué...!,Español,,OK
chianca,Sustantivo,carnicería / tronco,Español,,OK
chianta,Sustantivo,planta,Español,,OK
chiappa,Sustantivo,"1. piccia (di fichi), 2. natica",Italiano,,OK
chiappazza,Sustantivo,rupe,Italiano,,OK
chiappetta,Verbo,concio squadrato per costruire,Italiano,,OK
chiappinu,Sustantivo,uomo lento,Italiano,,OK
chiappuni,Sustantivo,cantone squadrato per edilizia,Italiano,,OK
chiasma,Sustantivo,"ruggine delle piante, delle biade",Italiano,,OK
chiattu,Sustantivo,plato,Español,,OK
chiaviruni,Sustantivo,palo,Italiano,,OK
chiazza,Sustantivo,plaza,Español,,OK
chichiruni,Sustantivo,bitorzolo,Italiano,,OK
chidda,Sustantivo,aquella,Español,,OK
chiddi,Sustantivo,aquellos / aquellas,Español,,OK
chiddu,Sustantivo,aquello,Español,,OK
chieffa,Sustantivo,cavo (del giogo),Italiano,,OK
chierza,Sustantivo,roble,Español,,OK
chiesia,Verbo,iglesia,Español,,OK
chietru,Sustantivo,"agua helada, hielo",Español,,OK
chifila,Sustantivo,lattice raccolto dalla pianta dell'Astragalus traganta,Italiano,,OK
chilebba,Sustantivo,veccia selvatica,Italiano,,OK
chilebra,Sustantivo,veccia selvatica,Italiano,,OK
chimistru,Sustantivo,ottone,Italiano,,OK
chimmogliu,Sustantivo,tapa,Español,,OK
chimmuogliu,Sustantivo,tapa,Español,,OK
chimurru,Sustantivo,vista corta,Italiano,,OK
chinnicchiennacchi,Sustantivo,que tiene que ver?,Español,,OK
chinnicèsimu,Sustantivo,"decimoquinto, quinzavo",Español,,OK
chinu di preiu,Verbo,festevole,Italiano,,OK
chinu di preju,Verbo,festevole,Italiano,,OK
chiosu,Sustantivo,gelso nero,Italiano,,OK
chippu,Verbo,pannicolo che avvolge gli intestini,Italiano,,OK
chiri chiri,Sustantivo,voce per chiamare i maiali,Italiano,,OK
chiricopu,Sustantivo,albaricoque,Español,,OK
chiricupa,Verbo,albaricoque / albaricoques,Español,,OK
chiròpula,Sustantivo,manipolo di lino,Italiano,,OK
chissa,Verbo,esa,Español,,OK
chissi,Verbo,esos / esas,Español,,OK
chissu,Verbo,eso,Español,,OK
chista,Verbo,esta,Español,,OK
chisti,Verbo,estos / estas,Español,,OK
chistioni,Verbo,cuestión,Español,,OK
chistu,Verbo,esto,Español,,OK
chitarra,Sustantivo,guitarra,Español,,OK
chitichitè,Sustantivo,"cosquilleo, cosquillas",Español,,OK
chittena,Sustantivo,"muro bajo, murete, tapia baja",Español,,OK
chiui,Sustantivo,"más, plus",Español,,OK
chiuni,Sustantivo,"más, plus",Español,,OK
chiàccula,Sustantivo,trampa,Español,,OK
chiàncula,Sustantivo,trampa,Español,,OK
chiàppira,Verbo,"¡caracoles!, ¡caramba!",Español,,OK
chiàsima,Sustantivo,"ruggine delle piante, delle biade",Italiano,,OK
chiètaru,Sustantivo,"agua helada, hielo",Español,,OK
chiù,Sustantivo,"más, plus",Español,,OK
chjui,Sustantivo,"más, plus",Español,,OK
chjuni,Sustantivo,"más, plus",Español,,OK
chjù,Sustantivo,"más, plus",Español,,OK
chìmica,Sustantivo,química,Español,,OK
chìnnici,Sustantivo,quince,Español,,OK
ci,Verbo,a este lugar / a él / a ella / a ellos / a ellas,Español,,OK
ci gomma,Sustantivo,chicle,Español,,OK
ciaca,Sustantivo,"canto rodado, guijarro",Español,,OK
ciacchittata,Sustantivo,fitta di dolori,Italiano,,OK
ciafagghiuni,Verbo,"palmitera (Chamaerops humilis L.), palmito, palma de escobas, palma de palmitos, palma enana, palmito europeo",Español,,OK
ciaffa,Sustantivo,pata,Español,,OK
ciaffagghiuni,Verbo,"palmitera (Chamaerops humilis L.), palmito, palma de escobas, palma de palmitos, palma enana, palmito europeo",Español,,OK
ciamma,Sustantivo,"flama, llama",Español,,OK
ciampa,Sustantivo,pata,Español,,OK
cianchettu,Sustantivo,guardinfante,Italiano,,OK
cianciamurrata,Verbo,"1. ferita di taglio al capo, 2. pioggia dirotta",Italiano,,OK
cianfa,Sustantivo,pata,Español,,OK
cianta,Sustantivo,planta,Español,,OK
cianuru,Sustantivo,cianuro,Español,,OK
ciappa,Sustantivo,"1. piedra, peñasco, 2. juego de la chita / pata",Español,,OK
ciaramuci,Conjunción/Adverbio,"1. conejito (cachorro de conejo), 2. chaval (para bromear), chico",Español,,OK
ciaramusci,Conjunción/Adverbio,"1. conejito (cachorro de conejo), 2. chaval (para bromear), chico",Español,,OK
ciarvuni,Sustantivo,"pezzo di ramo strappato dall'albero, pertica, pezzo di legno",Italiano,,OK
ciascu,Sustantivo,"""fiasco"" (garrafa)",Español,,OK
ciatu,Verbo,"aliento, respiración",Español,,OK
ciau,Sustantivo,hola,Español,,OK
ciavaruni,Sustantivo,"pezzo di ramo strappato dall'albero, pertica, pezzo di legno",Italiano,,OK
ciazza,Sustantivo,plaza,Español,,OK
cicala,Sustantivo,"cigarra, chicharra",Español,,OK
cicaluoru,Sustantivo,"uomo dappoco, sciocco",Italiano,,OK
cicarata,Sustantivo,tazada (el contenido de una taza),Español,,OK
cicchitedda,Verbo,"1. curruca cabecinegra (Sylvia melanocephala), 2. curruca capirotada (Sylvia atricapilla)",Español,,OK
cicchittedda,Sustantivo,curruca cabecinegra (Sylvia melanocephala),Español,,OK
cicina,Sustantivo,minuzzolo,Italiano,,OK
cicioli,Sustantivo,ciccioli,Italiano,,OK
cicirimigna,Verbo,"cardencha (Dipsacus fullonum), cardo de cardadores, cardoncha, dípsaco, raspasayo|raspasayos",Español,,OK
ciclu,Sustantivo,ciclo,Español,,OK
ciddazza,Sustantivo,pene grande,Español,,OK
cidduffu,Sustantivo,"uva dai granelli grossi, mostosi, ma di gusto insipido",Italiano,,OK
ciera,Sustantivo,"silla, asiento",Español,,OK
cifudduni,Sustantivo,"error, equivocación",Español,,OK
cigala,Sustantivo,"cigarra, chicharra",Español,,OK
cilanca,Sustantivo,"morbosa avidità di cibo, bulimia",Italiano,,OK
cilebbra,Sustantivo,veccia selvatica,Italiano,,OK
cilenna,Sustantivo,"mangano, miscuglio per biancheggiare la tela",Italiano,,OK
cileppu,Sustantivo,julepe,Español,,OK
cillitta,Conjunción/Adverbio,tubito de las fontanas de donde sale el agua,Español,,OK
cima,Conjunción/Adverbio,instrumento de madera para medir el vino,Español,,OK
cimarra,Sustantivo,matassa,Italiano,,OK
cimiciaru,Sustantivo,"cementerio, camposanto",Español,,OK
cimigghia,Sustantivo,favilla,Italiano,,OK
cimiteru,Sustantivo,"cementerio, camposanto",Español,,OK
cina,Verbo,cesso,Italiano,,OK
cinali,Sustantivo,grembiule,Italiano,,OK
cinanca,Sustantivo,"morbosa avidità di cibo, bulimia / verme che nasce nella lingua del cane (Pasqualino)",Italiano,,OK
cincigghiu,Sustantivo,pendone per ornamento della cintura militare,Italiano,,OK
cincu,Sustantivo,cinco,Español,,OK
cinquanta,Sustantivo,cincuenta,Español,,OK
cinquantèsimu,Sustantivo,quincuagésimo,Español,,OK
cintèsimu,Sustantivo,centésimo,Español,,OK
cintìmulu,Sustantivo,mulino mosso da giumenti,Italiano,,OK
ciosa,Sustantivo,gelso (frutto),Italiano,,OK
ciospa,Sustantivo,donna di mal affare,Italiano,,OK
ciotta,Sustantivo,hachuela,Español,,OK
cippettu,Sustantivo,vivanda di tonnina e cipolla,Italiano,,OK
cippu,Sustantivo,tronco (trozo),Español,,OK
ciranna,Sustantivo,rana,Español,,OK
ciranni,Sustantivo,ranas,Español,,OK
circedda,Sustantivo,orecchino,Italiano,,OK
circeddu,Sustantivo,cima della vite,Italiano,,OK
cirinciò,Verbo,curruca capirotada (Sylvia atricapilla),Español,,OK
cirluvì,Sustantivo,piviere,Italiano,,OK
cirrinciciò,Verbo,curruca capirotada (Sylvia atricapilla),Español,,OK
cirrinciò,Verbo,curruca capirotada (Sylvia atricapilla),Español,,OK
cirru,Verbo,piccolo pesce rossigno e di poco pregio,Italiano,,OK
cirruvìu,Sustantivo,piviere,Italiano,,OK
cirsudda,Verbo,"zamarrilla de los muros (Teucrium chamaedrys), camaedrio, camedrio, carrasquilla, encinilla, germandrina, hierba del carmesio",Español,,OK
cirtificatu,Sustantivo,certificado,Español,,OK
cirveri,Sustantivo,lince,Italiano,,OK
cirìmula,Sustantivo,"piccola lama di metallo rotondo, nel tamburello",Italiano,,OK
cirìmuli,Sustantivo,"piccola lama di metallo rotondo, nel tamburello",Italiano,,OK
ciròbbisu,Verbo,cera con la quale si chiudono tutte le fessure dell'alveare,Italiano,,OK
cisca,Sustantivo,"recipiente per il latte, contenitore ligneo in cui si munge",Italiano,,OK
citarra,Sustantivo,guitarra,Español,,OK
citati,Sustantivo,ciudad,Español,,OK
citazzioni,Sustantivo,citación,Español,,OK
cità,Sustantivo,ciudad,Español,,OK
ciucca,Sustantivo,gramaglie,Italiano,,OK
ciuceddu,Verbo,"plato (comida), sopa de pescado",Español,,OK
ciuciareddi,Sustantivo,ninnoli,Italiano,,OK
ciuciastra,Sustantivo,donna di mal affare,Italiano,,OK
ciucieddu,Verbo,"plato (comida), sopa de pescado",Español,,OK
ciuciuni,Sustantivo,"ciarpone, armeggione, pasticcione",Italiano,,OK
ciumi,Sustantivo,río,Español,,OK
ciuri,Verbo,flor / flores,Español,,OK
ciurruvìu,Sustantivo,piviere,Italiano,,OK
ciusca,Verbo,salvado (de cereales),Español,,OK
ciàppula,Sustantivo,trampa,Español,,OK
ciàula,Sustantivo,corneja,Español,,OK
ciùnciulu,Sustantivo,"centinodia (Polygonum aviculare), sanguinaria (Geranium sanguineum): erba che si usava contro le emorragie",Italiano,,OK
clesia,Verbo,iglesia,Español,,OK
cocca cosa,Sustantivo,algo,Español,,OK
cocchi cosa,Sustantivo,algo,Español,,OK
cocciu,Sustantivo,baya,Español,,OK
coccu cosa,Sustantivo,algo,Español,,OK
coccunu,Sustantivo,alguien,Español,,OK
coddu,Sustantivo,cuello,Español,,OK
colpu,Sustantivo,golpe,Español,,OK
copia,Sustantivo,copia,Español,,OK
corbu,Sustantivo,cuervo,Español,,OK
corca cosa,Sustantivo,algo,Español,,OK
corchi cosa,Sustantivo,algo,Español,,OK
corcunu,Sustantivo,alguien,Español,,OK
corda,Sustantivo,cuerda,Español,,OK
cori,Sustantivo,corazón,Español,,OK
corla,Verbo,"ira, rabia",Español,,OK
